track_uri,popularity,danceability,energy,speechiness,instrumentalness,liveness,loudness,tempo,valence
spotify:track:46jLy47W8rkf8rEX04gMKB,72,0.552,0.689,0.0425,0.0,"(0.27,)",-6.444,99.961,0.349
spotify:track:0N929zlBh78R0KiODntYyb,12,0.579,0.216,0.0415,0.958,"(0.156,)",-17.287,144.035,0.345
spotify:track:3xh2jJm9jbyhMPlIQQYfyN,0,0.641,0.576,0.139,0.0,"(0.114,)",-6.772,77.005,0.622
spotify:track:2PRAXIx89uLrMOqHObS4tb,37,0.65,0.483,0.0326,0.0,"(0.173,)",-5.592,96.015,0.473
spotify:track:319uC8bZ9eq3qmj1xzCXs4,0,0.624,0.165,0.0588,0.889,"(0.134,)",-17.123,123.742,0.25
spotify:track:27lTQnsPlNJUtcVhObY7w9,0,0.463,0.94,0.079,5.26e-06,"(0.221,)",-3.89,154.985,0.669
spotify:track:6TgLQJ87xq6adrAU6HzaTW,0,0.544,0.88,0.245,0.0159,"(0.453,)",-4.917,126.06,0.491
spotify:track:5TTXEcfsYLh6fTarLaevTi,81,0.752,0.494,0.0559,0.0,"(0.0869,)",-8.18,117.901,0.227
spotify:track:0CAfXk7DXMnon4gLudAp7J,85,0.918,0.609,0.0791,0.0,"(0.139,)",-5.64,128.008,0.304
spotify:track:64wjSAPLRnrjNByQCxnX3u,56,0.687,0.641,0.03,0.0,"(0.111,)",-5.814,120.04,0.663
spotify:track:2CmdLKXAMimlnHptWJavgP,37,0.881,0.139,0.134,0.936,"(0.11,)",-12.49,61.566,0.209
spotify:track:4BWvp7busK5ngl4Icr1UqH,54,0.832,0.336,0.0771,0.445,"(0.0743,)",-12.97,82.998,0.921
spotify:track:6lE4b8CqiUCzQRbHij0Mcw,8,0.629,0.262,0.052,0.91,"(0.117,)",-19.331,120.381,0.226
spotify:track:1gewwJHPkvysxLEGgOKQuB,59,0.905,0.721,0.31,0.0,"(0.528,)",-6.922,145.958,0.695
spotify:track:3UoULw70kMsiVXxW0L3A33,77,0.487,0.534,0.0555,0.0,"(0.1,)",-5.664,131.798,0.173
spotify:track:3sRf2zuZ9UefUSUb7FNmJA,33,0.469,0.0632,0.0451,0.866,"(0.125,)",-15.259,62.261,0.123
spotify:track:1n8NKQRg8LVHy7oUhUgbFF,63,0.156,0.162,0.036,0.691,"(0.111,)",-17.101,73.407,0.077
spotify:track:3nCOU2CGvt4IlUwiS5ENYY,29,0.392,0.271,0.101,0.893,"(0.121,)",-15.781,74.09,0.398
spotify:track:4XQsRBmrmJiznM1n4DguZ7,40,0.678,0.427,0.0451,0.887,"(0.106,)",-9.555,143.97,0.129
spotify:track:0RpwFWxri878tdNTsEVUAh,37,0.297,0.306,0.0318,0.0,"(0.106,)",-9.088,68.408,0.254
spotify:track:7yMnml7zdYl5LlDFZPm5Hd,0,0.668,0.951,0.0784,0.0,"(0.338,)",-3.453,113.986,0.826
spotify:track:6ikaNm8tnqvSB8XxRV4nog,37,0.843,0.557,0.13,0.000113,"(0.115,)",-9.425,144.95,0.634
spotify:track:2VOomzT6VavJOGBeySqaMc,82,0.707,0.813,0.0571,0.0,"(0.168,)",-4.515,124.921,0.722
spotify:track:0M9VqYG0wVun054JIdwFO8,62,0.467,0.919,0.069,0.0,"(0.0193,)",-2.255,169.987,0.706
spotify:track:1cgny2s6dY6ik573oxpquz,55,0.417,0.359,0.0645,0.438,"(0.102,)",-15.403,79.488,0.0481
spotify:track:5jlw1WJJuhfvovBEmtY7Cz,35,0.609,0.66,0.0343,0.0,"(0.134,)",-5.665,119.904,0.571
spotify:track:5WIZ5DxN2k3TWcQ2ffJXrd,38,0.738,0.222,0.0617,0.869,"(0.109,)",-12.364,134.0,0.18
spotify:track:5Kpc5a5FgVBOXXsJF6HliC,34,0.306,0.672,0.0312,0.00102,"(0.356,)",-5.63,139.015,0.541
spotify:track:1KZyVnyptQcPzkx7ELCnZC,75,0.715,0.715,0.0902,0.0,"(0.0936,)",-7.364,134.922,0.507
spotify:track:4TeO0MXr11IrOgA0NY5Do8,0,0.52,0.646,0.0318,0.0306,"(0.143,)",-8.912,95.972,0.326
spotify:track:0KpAm8TtyHPZmxdPO7npYO,56,0.653,0.515,0.267,0.0,"(0.0756,)",-7.906,176.05,0.674
spotify:track:6E0YEPzjMvUymYOvmDIgp4,50,0.439,0.118,0.0374,0.0191,"(0.129,)",-14.23,161.5,0.154
spotify:track:4Eo9mjiZInrhuMgNNiCibj,0,0.169,0.023,0.0434,0.9,"(0.0907,)",-26.897,114.313,0.0369
spotify:track:0b16LTzby1YRVd2nq2Z0fw,54,0.588,0.825,0.0328,0.00138,"(0.0884,)",-5.882,129.968,0.397
spotify:track:0ytvsZOerGzUWfHXVT2Sgy,70,0.655,0.487,0.033,0.897,"(0.271,)",-7.988,139.914,0.0454
spotify:track:3PYjfbPUKzVDRshWF9z07x,0,0.781,0.76,0.143,0.0,"(0.346,)",-2.845,104.077,0.886
spotify:track:7p21ty59l7gtfhDX7rifLa,60,0.824,0.752,0.035,3.93e-06,"(0.122,)",-4.496,117.991,0.739
spotify:track:5zMAgeDJNhQe0pzTG7sR68,0,0.36,0.962,0.0893,0.0,"(0.31,)",-4.182,102.049,0.426
spotify:track:6Xa2rrTpSLkpx887Y115mO,69,0.485,0.484,0.0617,0.0,"(0.114,)",-7.036,159.877,0.282
spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,83,0.585,0.776,0.0459,7.74e-06,"(0.3,)",-5.898,77.987,0.427
spotify:track:1UkrOlQkhNI5a7i1R9hAu2,0,0.854,0.201,0.101,0.928,"(0.121,)",-21.669,120.166,0.0742
spotify:track:2DxrwlVTa95RvxxpGgp9by,39,0.784,0.39,0.0419,0.854,"(0.11,)",-17.21,130.022,0.528
spotify:track:4AhqLI5pedSyAjm5bWfZaN,35,0.586,0.95,0.0919,0.0,"(0.0546,)",-3.429,102.041,0.782
spotify:track:2k2VMESci1Q5A2j1wuB7bZ,22,0.564,0.856,0.0379,0.0,"(0.102,)",-4.511,129.963,0.575
spotify:track:0VxocBntP1XTZRsR9ZURPS,65,0.475,0.149,0.0395,0.0,"(0.14,)",-11.429,95.423,0.318
spotify:track:0XLOf9LhyazPX9Ld8jPiUq,0,0.708,0.61,0.0574,4.45e-06,"(0.0641,)",-4.522,123.038,0.305
spotify:track:7qjmLdB9rXBxkNGKTz4Ckc,0,0.54,0.748,0.0564,0.0,"(0.26,)",-4.705,94.924,0.756
